127.0.0.1 - - [24/Oct/2014:14:37:09 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [24/Oct/2014:14:37:10 +0200] "GET /SearchPointSrv/ HTTP/1.1" 200 1963
127.0.0.1 - - [24/Oct/2014:14:37:10 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:10 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:10 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:10 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:16 +0200] "GET /SearchPointSrv/ HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:16 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:16 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:16 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:16 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:17 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [24/Oct/2014:14:37:17 +0200] "GET /SearchPointSrv/result.jsp?q=ljubljana&c=kmeans HTTP/1.1" 200 3771
127.0.0.1 - - [24/Oct/2014:14:37:17 +0200] "GET /SearchPointSrv/ HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:17 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:17 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:17 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
